title|description|releaseYear|rating|genre|coverImage
Game of Thrones The IMAX Experience|"The first episode of this IMAX screening takes place entirely at The Wall with the Night’s Watch (S4 EP9) hopelessly outnumbered as they attempt to defend Castle Black from the Wildings and features one the fiercest and most intense battle scenes ever filmed for television. The second episode (S4 EP10), features Dany coming to grips with the realities of ruling a kingdom, Bran learning the startling reality of his destiny and Tyrion facing the truth of his unfortunate situation."|2015|0||https://image.tmdb.org/t/p/w500/f2FAIM29opSocIEvNvT7Muinga0.jpg
Love Island|"A pregnant French woman lives in Sarajevo with her Bosnian husband and their daughter. They vacation at a Croatian island, where things get complicated when they all become attracted to a beautiful woman."|2014|1||https://image.tmdb.org/t/p/w500/7uaHwn2xZeY103SgLAKw3lvQFqz.jpg
Interstellar|The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.|2014|0||https://image.tmdb.org/t/p/w500/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg
Pirates of the Caribbean: The Curse of the Black Pearl|"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead."|2003|0||https://image.tmdb.org/t/p/w500/kvDwL2gTf6yxujbsWbsGQB3Z9Wa.jpg
Joker|"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."|2019|0||https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
Baby Driver|"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."|2017|0||https://image.tmdb.org/t/p/w500/tYzFuYXmT8LOYASlFCkaPiAFAl0.jpg
Sinners|"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."|2025|0||https://image.tmdb.org/t/p/w500/705nQHqe4JGdEisrQmVYmXyjs1U.jpg
Spider-Man: No Way Home|"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."|2021|0||https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
Project Hail Mary|"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone."|2026|0||https://image.tmdb.org/t/p/w500/yihdXomYb5kTeSivtFndMy5iDmf.jpg
Bolt|"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his "super powers" to find a way home."|2008|0||https://image.tmdb.org/t/p/w500/v5aC4nrzXFGJDWY4JO1eengXzqk.jpg
The Bright Side|"Stand-up comedian Kate thinks her life has no meaning and is not worth continuing. When she’s diagnosed with breast cancer, even the universe seems to agree with her. However, a close encounter with death – and four other women on the chemo ward – might just change her mind and even her life."|2021|0||https://image.tmdb.org/t/p/w500/6mWwMOHAT24zaE5yDrJ0l2uRkfj.jpg
Eternal Sunshine of the Spotless Mind|"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."|2004|0||https://image.tmdb.org/t/p/w500/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
la la land|"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart."|2016|0||https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
brokeback mountain|"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own."|2005|0||https://image.tmdb.org/t/p/w500/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg
jaws|"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again."|1975|0||https://image.tmdb.org/t/p/w500/tjbLSFwi0I3phZwh8zoHWNfbsEp.jpg
